Treatment,Snail,Week,Length,Egg.Sacs,Status
Control,1,0,6.5,0,alive
Control,2,0,7,0,alive
Control,3,0,5,0,alive
Control,4,0,6,0,alive
Control,5,0,4.5,0,alive
Control,6,0,8,0,alive
Control,7,0,7,0,alive
Control,8,0,5,0,alive
Control,9,0,6,0,alive
Control,10,0,4,0,alive
L2,11,0,5,0,alive
L2,12,0,4,0,alive
L2,13,0,6,0,alive
L2,14,0,5.5,0,alive
L2,15,0,6.5,0,alive
L2,16,0,6,0,alive
L2,17,0,5.5,0,alive
L2,18,0,6,0,alive
L2,19,0,6,0,alive
L2,20,0,4,0,alive
L3,21,0,5,0,alive
L3,22,0,7.5,0,alive
L3,23,0,4.5,0,alive
L3,24,0,4,0,alive
L3,25,0,6.5,0,alive
L3,26,0,6,0,alive
L3,27,0,5.5,0,alive
L3,28,0,4,0,alive
L3,29,0,8,0,alive
L3,30,0,6,0,alive
L4,31,0,5,0,alive
L4,32,0,5.5,0,alive
L4,33,0,7,0,alive
L4,34,0,5,0,alive
L4,35,0,5,0,alive
L4,36,0,5.5,0,alive
L4,37,0,6,0,alive
L4,38,0,5,0,alive
L4,39,0,4,0,alive
L4,40,0,6,0,alive
Control,1,1,7.6,0,alive
Control,2,1,8.6,0,alive
Control,3,1,7,2,alive
Control,4,1,7.6,0,alive
Control,5,1,6.2,0,alive
Control,6,1,9.6,5,alive
Control,7,1,7.8,2,alive
Control,8,1,7.7,3,alive
Control,9,1,7.3,0,alive
Control,10,1,6.5,3,alive
L2,11,1,7.1,1,alive
L2,12,1,4.5,1,alive
L2,13,1,7.3,1,alive
L2,14,1,6.3,1,alive
L2,15,1,7.3,1,alive
L2,16,1,8.5,2,alive
L2,17,1,6,0,alive
L2,18,1,7.1,1,alive
L2,19,1,7.2,1,alive
L2,20,1,5.8,0,alive
L3,21,1,6.7,2,alive
L3,22,1,8,1,alive
L3,23,1,6.4,0,alive
L3,24,1,5.9,0,alive
L3,25,1,7.3,0,alive
L3,26,1,6.7,0,alive
L3,27,1,7,0,alive
L3,28,1,5.6,0,alive
L3,29,1,9.2,0,alive
L3,30,1,7,2,alive
L4,31,1,7,1,alive
L4,32,1,6.2,1,alive
L4,33,1,7.9,2,alive
L4,34,1,6.7,0,alive
L4,35,1,6.6,1,alive
L4,36,1,7.3,1,alive
L4,37,1,8.1,0,alive
L4,38,1,5.7,0,alive
L4,39,1,5,0,alive
L4,40,1,7.6,0,alive
Control,1,2,8,0,alive
Control,2,2,8.9,5,alive
Control,3,2,7.1,1,alive
Control,4,2,7.6,1,alive
Control,5,2,6.6,0,alive
Control,6,2,10,2,alive
Control,7,2,8.2,0,alive
Control,8,2,7.7,2,alive
Control,9,2,7.7,4,alive
Control,10,2,6.7,0,alive
L2,11,2,7.1,1,alive
L2,12,2,5.6,2,alive
L2,13,2,7.4,1,alive
L2,14,2,7.5,0,dead
L2,15,2,7.8,1,alive
L2,16,2,8.6,2,alive
L2,17,2,7.1,3,alive
L2,18,2,7.9,0,alive
L2,19,2,8.2,1,alive
L2,20,2,6,0,dead
L3,21,2,7,2,dead
L3,22,2,8.2,3,alive
L3,23,2,6.6,2,alive
L3,24,2,6,0,alive
L3,25,2,8.1,1,alive
L3,26,2,6.9,0,alive
L3,27,2,7.2,0,alive
L3,28,2,5.7,0,alive
L3,29,2,9.8,5,alive
L3,30,2,7.5,0,alive
L4,31,2,7.4,0,dead
L4,32,2,6.9,0,dead
L4,33,2,8,0,alive
L4,34,2,6.9,0,dead
L4,35,2,6.7,0,alive
L4,36,2,7.3,NA,dead
L4,37,2,8.1,0,dead
L4,38,2,6.3,0,alive
L4,39,2,5.1,0,alive
L4,40,2,7.9,0,alive
Control,1,3,8.1,0,dead
Control,2,3,9.1,0,alive
Control,3,3,7.1,0,alive
Control,4,3,7.6,NA,dead
Control,5,3,6.6,0,dead
Control,6,3,10.1,3,alive
Control,7,3,8.6,0,alive
Control,8,3,8.7,1,alive
Control,9,3,7.8,2,alive
Control,10,3,6.7,0,alive
L2,11,3,7.2,0,dead
L2,12,3,5.5,2,alive
L2,13,3,7.5,2,alive
L2,14,3,NA,NA,dead
L2,15,3,7.9,0,dead
L2,16,3,8.7,0,alive
L2,17,3,7.5,0,dead
L2,18,3,8,0,dead
L2,19,3,8.2,1,alive
L2,20,3,NA,NA,dead
L3,21,3,NA,NA,dead
L3,22,3,8.6,0,dead
L3,23,3,6.6,2,alive
L3,24,3,6.2,0,alive
L3,25,3,8.4,0,dead
L3,26,3,7,0,alive
L3,27,3,7.9,0,dead
L3,28,3,5.8,0,dead
L3,29,3,9.8,0,alive
L3,30,3,7.9,0,dead
L4,31,3,NA,NA,dead
L4,32,3,NA,NA,dead
L4,33,3,8.5,0,alive
L4,34,3,NA,NA,dead
L4,35,3,6.9,0,dead
L4,36,3,NA,NA,dead
L4,37,3,NA,NA,dead
L4,38,3,6.3,0,dead
L4,39,3,5.6,0,alive
L4,40,3,7.9,0,dead
Control,1,4,NA,NA,dead
Control,2,4,9.3,1,alive
Control,3,4,7.3,2,alive
Control,4,4,NA,NA,dead
Control,5,4,NA,NA,dead
Control,6,4,10.2,2,alive
Control,7,4,8.8,0,alive
Control,8,4,8.9,0,alive
Control,9,4,8.1,0,alive
Control,10,4,6.8,0,alive
L2,11,4,NA,NA,dead
L2,12,4,5.6,0,alive
L2,13,4,7.5,1,alive
L2,14,4,NA,NA,dead
L2,15,4,NA,NA,dead
L2,16,4,8.7,0,dead
L2,17,4,NA,0,dead
L2,18,4,NA,NA,dead
L2,19,4,8.2,0,alive
L2,20,4,NA,NA,dead
L3,21,4,NA,NA,dead
L3,22,4,NA,NA,dead
L3,23,4,6.6,0,alive
L3,24,4,6.2,0,alive
L3,25,4,NA,NA,dead
L3,26,4,7.1,0,alive
L3,27,4,NA,NA,dead
L3,28,4,NA,NA,dead
L3,29,4,9.8,0,dead
L3,30,4,NA,NA,dead
L4,31,4,NA,NA,dead
L4,32,4,NA,NA,dead
L4,33,4,8.5,0,alive
L4,34,4,NA,NA,dead
L4,35,4,NA,NA,dead
L4,36,4,NA,NA,dead
L4,37,4,NA,NA,dead
L4,38,4,NA,NA,dead
L4,39,4,5.8,0,alive
L4,40,4,NA,NA,dead
